Category,Sum of Count of Brands,Sum of HUL Brands,Sum of P&G Brands,WEEK,SOURCE
Food & Gourment,17,0,0,2016-10-01-2016-10-07,Snapdeal
Home Page,80,13,4,2016-10-01-2016-10-07,Snapdeal
Household essentials,21,7,4,2016-10-01-2016-10-07,Snapdeal
Men's Fragrances,1,0,0,2016-10-01-2016-10-07,Snapdeal
Beauty & Personal care,13,8,0,2016-10-08-2016-10-14,Snapdeal
Below the fold Cards,4,0,0,2016-10-08-2016-10-14,Snapdeal
Food & Gourment,10,0,0,2016-10-08-2016-10-14,Snapdeal
Home Page,56,0,0,2016-10-08-2016-10-14,Snapdeal
Household essentials,22,10,4,2016-10-08-2016-10-14,Snapdeal
Men's Fragrances,1,0,0,2016-10-08-2016-10-14,Snapdeal
RHS Card,0,0,0,2016-10-08-2016-10-14,Snapdeal
Beauty & Personal care,4,1,0,2016-10-15-2016-10-21,Snapdeal
Below the fold Cards,7,0,0,2016-10-15-2016-10-21,Snapdeal
Food & Gourment,6,0,0,2016-10-15-2016-10-21,Snapdeal
Home Page,70,8,5,2016-10-15-2016-10-21,Snapdeal
Household essentials,9,2,2,2016-10-15-2016-10-21,Snapdeal
RHS Card,0,0,0,2016-10-15-2016-10-21,Snapdeal
Amazon Pantry,30,9,1,2016-10-22-2016-10-28,AMAZON
Beauty Page,34,20,4,2016-10-22-2016-10-28,AMAZON
Body Wash,4,4,0,2016-10-22-2016-10-28,AMAZON
Cleaning Store,12,4,1,2016-10-22-2016-10-28,AMAZON
Coffee and Espresso,10,8,0,2016-10-22-2016-10-28,AMAZON
"Coffee, Tea & Beverages Store",4,1,0,2016-10-22-2016-10-28,AMAZON
Diet & Nutrition,7,0,0,2016-10-22-2016-10-28,AMAZON
Feminine Hygiene Products,3,0,1,2016-10-22-2016-10-28,AMAZON
Fragrance,3,1,0,2016-10-22-2016-10-28,AMAZON
Grocery & Gourmet,49,15,0,2016-10-22-2016-10-28,AMAZON
Hair Care & Styling,13,8,2,2016-10-22-2016-10-28,AMAZON
Home Page,90,7,2,2016-10-22-2016-10-28,AMAZON
Household Supplies,36,16,3,2016-10-22-2016-10-28,AMAZON
Luxury Beauty,11,0,0,2016-10-22-2016-10-28,AMAZON
Make up & Nails,9,2,0,2016-10-22-2016-10-28,AMAZON
Mens Grooming,10,2,0,2016-10-22-2016-10-28,AMAZON
Personal Care,10,1,1,2016-10-22-2016-10-28,AMAZON
Skin Care,15,8,2,2016-10-22-2016-10-28,AMAZON
Snack Food Store,5,1,0,2016-10-22-2016-10-28,AMAZON
Subscribe & Save,37,21,6,2016-10-22-2016-10-28,AMAZON
Tea,11,8,0,2016-10-22-2016-10-28,AMAZON
Home Page,24,1,0,2016-10-22-2016-10-28,BigBasket-BLR
Household,4,1,1,2016-10-22-2016-10-28,BigBasket-BLR
Household Detergents,5,1,2,2016-10-22-2016-10-28,BigBasket-BLR
Personal Care,6,0,2,2016-10-22-2016-10-28,BigBasket-BLR
Personal Care Cosmetics,6,0,0,2016-10-22-2016-10-28,BigBasket-BLR
Personal Care Personal Hygiene,2,0,0,2016-10-22-2016-10-28,BigBasket-BLR
Personal Care Skin Care,7,2,0,2016-10-22-2016-10-28,BigBasket-BLR
Promotions,626,14,14,2016-10-22-2016-10-28,BigBasket-BLR
Bath & Body,15,14,1,2016-10-22-2016-10-28,Nykaa
Fragrance,3,0,0,2016-10-22-2016-10-28,Nykaa
Hair,24,17,0,2016-10-22-2016-10-28,Nykaa
Herbal,0,0,0,2016-10-22-2016-10-28,Nykaa
Home Page,62,34,0,2016-10-22-2016-10-28,Nykaa
Makeup,21,16,0,2016-10-22-2016-10-28,Nykaa
Mom & Baby,10,0,0,2016-10-22-2016-10-28,Nykaa
