category,Count_of_Brands,HUL_Brands,PG_Brands,source,Week
Home Page,7,1,1,Amazon,2016-10-01-2016-10-07
Home Page,0,0,0,SnapDeal,2016-10-01-2016-10-07
Home page,0,0,0,SnapDeal,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,0,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,0,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,0,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,1,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,0,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,1,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,1,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,3,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,1,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,1,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,0,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,1,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,1,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,0,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,1,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,0,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,0,0,0,Nykaa,2016-10-01-2016-10-07
SALE,0,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
SALE,1,0,0,Nykaa,2016-10-01-2016-10-07
